Packet Count, Jetson Time
868,1679939664.593043
869,1679939664.5932696
870,1679939664.6201916
871,1679939664.6208816
872,1679939664.6209812
873,1679939664.64307
874,1679939664.6432545
875,1679939664.6598804
876,1679939664.6600397
877,1679939664.680715
878,1679939664.723776
879,1679939664.7239652
880,1679939664.724086
881,1679939664.7242177
882,1679939664.7243433
883,1679939664.7441258
884,1679939664.8572197
885,1679939664.8573036
886,1679939664.8573503
887,1679939664.8573923
888,1679939664.869138
889,1679939664.8693736
890,1679939664.8695033
891,1679939664.8935304
892,1679939664.8956904
893,1679939664.9181294
894,1679939664.918438
895,1679939664.929536
896,1679939664.9301753
897,1679939664.9506211
898,1679939664.9507427
899,1679939664.978088
900,1679939664.9791403
901,1679939664.9903734
902,1679939664.990528
903,1679939664.9906545
904,1679939665.9408672
905,1679939665.9513922
906,1679939665.2974849
907,1679939665.2995658
908,1679939665.5057614
909,1679939665.5071292
910,1679939665.7099977
911,1679939665.711261
912,1679939665.90666
913,1679939665.9080796
914,1679939665.1193087
915,1679939665.1194568
916,1679939665.11961
917,1679939665.139097
918,1679939665.1392171
919,1679939665.15867
920,1679939665.1589155
921,1679939665.1796944
922,1679939665.1798303
923,1679939665.2006133
924,1679939665.2007146
925,1679939665.2202935
926,1679939665.2204185
927,1679939665.2547345
928,1679939665.2548702
929,1679939665.2549932
930,1679939665.2592015
931,1679939665.2593577
932,1679939665.2802968
933,1679939665.2804675
934,1679939665.301268
935,1679939665.30145
936,1679939665.319908
937,1679939665.320017
938,1679939665.34034
939,1679939665.3404822
940,1679939665.3689408
941,1679939665.36923
942,1679939665.3693533
943,1679939665.3892972
944,1679939665.3894303
945,1679939665.4093747
946,1679939665.4094913
947,1679939665.4294271
948,1679939665.4295416
949,1679939665.4509923
950,1679939665.4510968
951,1679939665.4699345
952,1679939665.470043
953,1679939665.4891555
954,1679939665.4892707
955,1679939665.4894643
956,1679939665.5099664
957,1679939665.5101676
958,1679939665.530357
959,1679939665.5305817
960,1679939665.5500865
961,1679939665.5502684
962,1679939665.5763073
963,1679939665.576763
964,1679939665.5923889
965,1679939665.5925329
966,1679939665.6259036
967,1679939665.626029
968,1679939665.6262195
969,1679939665.64634
970,1679939665.6465423
971,1679939665.6622298
972,1679939665.662334
973,1679939665.6809027
974,1679939665.6810217
975,1679939665.700342
976,1679939665.700487
977,1679939665.7226255
978,1679939665.7227633
979,1679939665.7470827
980,1679939665.7471912
981,1679939665.7603164
982,1679939665.7604568
983,1679939665.7606156
984,1679939665.7803972
985,1679939665.7805364
986,1679939665.7998762
987,1679939665.8000393
988,1679939665.821801
989,1679939665.821964
990,1679939665.8411674
991,1679939665.841323
992,1679939665.8685997
993,1679939665.8694792
994,1679939665.869554
995,1679939665.8892117
996,1679939665.8892848
997,1679939665.9157956
998,1679939665.9158952
999,1679939665.9323163
1000,1679939665.9324183
1001,1679939665.9506652
1002,1679939665.9507885
1003,1679939665.9709044
1004,1679939665.9710205
1005,1679939665.9915404
1006,1679939665.991706
1007,1679939665.9918027
1008,1679939666.987852
1009,1679939666.1001935
1010,1679939666.3036623
1011,1679939666.3058748
1012,1679939666.511401
1013,1679939666.5141563
1014,1679939666.7172256
1015,1679939666.718656
1016,1679939666.906391
1017,1679939666.9072418
1018,1679939666.1337988
1019,1679939666.1339934
1020,1679939666.1340375
1021,1679939666.1407068
1022,1679939666.1409628
1023,1679939666.1613011
1024,1679939666.1613848
1025,1679939666.180719
1026,1679939666.1808178
1027,1679939666.2022402
1028,1679939666.2023408
1029,1679939666.2238145
1030,1679939666.2239113
1031,1679939666.2434592
1032,1679939666.243554
1033,1679939666.2435884
1034,1679939666.2665665
1035,1679939666.266731
1036,1679939666.2827828
1037,1679939666.2829108
1038,1679939666.3012712
1039,1679939666.3013756
1040,1679939666.3211057
1041,1679939666.3212233
1042,1679939666.3484566
1043,1679939666.3485956
1044,1679939666.3486943
1045,1679939666.3705904
1046,1679939666.3707027
1047,1679939666.389367
1048,1679939666.3894904
1049,1679939666.4094398
1050,1679939666.409571
1051,1679939666.433945
1052,1679939666.4340315
1053,1679939666.450245
1054,1679939666.4504454
1055,1679939666.4701858
1056,1679939666.4703004
1057,1679939666.4896088
1058,1679939666.4897275
1059,1679939666.4898524
1060,1679939666.509909
1061,1679939666.5100596
1062,1679939666.5312085
1063,1679939666.531392
1064,1679939666.549919
1065,1679939666.550024
1066,1679939666.5708134
1067,1679939666.5710337
1068,1679939666.599404
1069,1679939666.599516
1070,1679939666.5996232
1071,1679939666.6196384
1072,1679939666.619836
1073,1679939666.6388464
1074,1679939666.6389391
1075,1679939666.6603904
1076,1679939666.660473
1077,1679939666.6804273
1078,1679939666.6805031
1079,1679939666.6998367
1080,1679939666.69992
1081,1679939666.720554
1082,1679939666.720688
1083,1679939666.7409236
1084,1679939666.7411716
1085,1679939666.7622626
1086,1679939666.7623453
1087,1679939666.76243
1088,1679939666.7794223
1089,1679939666.7795403
1090,1679939666.8030877
1091,1679939666.8035195
1092,1679939666.8205075
1093,1679939666.8205976
1094,1679939666.85385
1095,1679939666.8539765
1096,1679939666.854078
1097,1679939666.8713863
1098,1679939666.871478
1099,1679939666.8897488
1100,1679939666.8898642
1101,1679939666.9102197
1102,1679939666.9104629
1103,1679939666.93071
1104,1679939666.9308224
1105,1679939666.9502325
1106,1679939666.9503431
1107,1679939666.9704812
1108,1679939666.9707425
1109,1679939666.9920423
1110,1679939666.9921477
1111,1679939666.9922493
1112,1679939667.985354
1113,1679939667.9971652
1114,1679939667.3053677
1115,1679939667.30733
1116,1679939667.5026572
1117,1679939667.505103
1118,1679939667.710071
1119,1679939667.7111475
1120,1679939667.9882307
1121,1679939667.989329
1122,1679939667.9904149
1123,1679939667.119089
1124,1679939667.1192632
1125,1679939667.1393025
1126,1679939667.139456
1127,1679939667.1601956
1128,1679939667.160326
1129,1679939667.1822944
1130,1679939667.182436
1131,1679939667.2006783
1132,1679939667.2008204
1133,1679939667.2216067
1134,1679939667.2217362
1135,1679939667.2420669
1136,1679939667.242246
1137,1679939667.242295
1138,1679939667.2599523
1139,1679939667.260068
1140,1679939667.2808387
1141,1679939667.2809472
1142,1679939667.3038752
1143,1679939667.304009
1144,1679939667.3210402
1145,1679939667.3211374
1146,1679939667.3500495
1147,1679939667.350252
1148,1679939667.350381
1149,1679939667.3698936
1150,1679939667.3700097
1151,1679939667.3912103
1152,1679939667.3913288
1153,1679939667.4110837
1154,1679939667.4116
1155,1679939667.4333832
1156,1679939667.4334743
1157,1679939667.4514425
1158,1679939667.4515305
1159,1679939667.4712305
1160,1679939667.471366
1161,1679939667.4902203
1162,1679939667.490327
1163,1679939667.4904425
1164,1679939667.5106642
1165,1679939667.5107856
1166,1679939667.5306215
1167,1679939667.530744
1168,1679939667.5523317
1169,1679939667.5524893
1170,1679939667.5709305
1171,1679939667.5710628
1172,1679939667.5998528
1173,1679939667.5999663
1174,1679939667.600168
1175,1679939667.6199567
1176,1679939667.620073
1177,1679939667.6392398
1178,1679939667.639362
1179,1679939667.6593227
1180,1679939667.6594224
1181,1679939667.6803944
1182,1679939667.6805258
1183,1679939667.7010915
1184,1679939667.7012124
1185,1679939667.7226515
1186,1679939667.722756
1187,1679939667.746569
1188,1679939667.746668
1189,1679939667.7469468
1190,1679939667.760377
1191,1679939667.7604666
1192,1679939667.7805572
1193,1679939667.78099
1194,1679939667.8007607
1195,1679939667.8008685
1196,1679939667.8207316
1197,1679939667.820937
1198,1679939667.8488724
1199,1679939667.8491106
1200,1679939667.8491838
1201,1679939667.8688133
1202,1679939667.8690293
1203,1679939667.8901827
1204,1679939667.8903055
1205,1679939667.925652
1206,1679939667.9264226
1207,1679939667.9327383
1208,1679939667.9329224
1209,1679939667.9508972
1210,1679939667.9511397
1211,1679939667.9764714
1212,1679939667.976791
1213,1679939667.9914317
1214,1679939667.9917765
1215,1679939667.991874
1216,1679939668.1071632
1217,1679939668.1090033
1218,1679939668.305862
1219,1679939668.3123264
1220,1679939668.5132897
1221,1679939668.5143113
1222,1679939668.716886
1223,1679939668.7184987
1224,1679939668.9954104
1225,1679939668.9966967
1226,1679939668.9977193
1227,1679939668.1214504
1228,1679939668.1217856
1229,1679939668.1422925
1230,1679939668.1423984
1231,1679939668.1611073
1232,1679939668.161301
1233,1679939668.1797528
1234,1679939668.1799142
1235,1679939668.201271
1236,1679939668.2014074
1237,1679939668.221063
1238,1679939668.2212152
1239,1679939668.2403035
1240,1679939668.2405791
1241,1679939668.2407627
1242,1679939668.2595732
1243,1679939668.2597249
1244,1679939668.281768
1245,1679939668.281906
1246,1679939668.3010435
1247,1679939668.3011844
1248,1679939668.321756
1249,1679939668.3220675
1250,1679939668.348423
1251,1679939668.3485951
1252,1679939668.348699
1253,1679939668.3699975
1254,1679939668.3702323
1255,1679939668.390594
1256,1679939668.390767
1257,1679939668.410148
1258,1679939668.4103105
1259,1679939668.4305437
1260,1679939668.4309287
1261,1679939668.4505544
1262,1679939668.4507723
1263,1679939668.4722407
1264,1679939668.4723835
1265,1679939668.4894173
1266,1679939668.4894967
1267,1679939668.4895933
1268,1679939668.5102932
1269,1679939668.5104337
1270,1679939668.5308332
1271,1679939668.5309534
1272,1679939668.5517595
1273,1679939668.551925
